,all_features
393,"Great Place to work, potential to grow Great Start Salary, job is relatively easy, yet very important at the same time, safety is a major concern, and the company really lets you know that they have your best interest in mind. Literally working on the future of transportation. they provide snacks and drinks to make sure we are well hydrated and have energy for the road. long hours sitting would be my top complaint and rotating 7 day schedule, which the schedule thing really isn't that bad but other than those I have no real gripes."
394,"Self driving autos There are a lot of pros for this job, you have great benefits, great hours, it is a wonderful company to work for everybody is friendly they care about their employees you couldn't find a better job than this one There are no major cons. The only thing that can sometimes bother people is it involves a lot of stress being on the road with other drivers and things are constantly changing but they're changing for the good"
395,Major transition Good working atmosphere Interesting advanced high-tech projects Big enough to offer internal relocation to wide variety of jobs. Chaotic management Struggles a bit to define a new identity after splitting into Aptiv and Delphi Technologies. Micro-management happens quite a lot Rather rore finance than technology driven
396,"If you love driving and working with a different person each day go apply You meet a new person everyday. You will be apart of the future - helping perfect self driving cars. You get benefits, and free food occasionally. You are stuck in a car for 8-9 hours a day with a random person ( Not so bad if you have something in common with the person). The company is still very new, so you have to be able to adapt quickly."
397,Work Life Balance - Salary is Very Good I am working as a Mechanical Engineer in Aptiv. Company's growth is very good. Work life balance. Salaries are on par with Industries. Salaries are very good compared to Mechanical industries. Opportunities are more for software engineers. No on site opportunities. Growth is less for mechanical engineers.
398,Software Development Intern - Autonomous Vehicle Mapping Tons of opportunities to demonstrate your worth and step up to the plate. Expansion of bigger city (Boston and Pittsburgh) offices will attract much better tech talent. Masters or PhD required to work on certain teams.
399,"Strong Growth and Leadership Aptiv provides many opportunities for growth. It's exciting to have mangers that help to foster your career and truly lead by example. It can sometimes be challenging to meet everyone you work with due to the global locations and size of Aptiv,"
400,"Good Place to work good place to work, good culture, good interaction with global teams, exposure to advanced technologies related to autonomous driving, sensors, multimedia.... lesser interaction and transparency with site leadership, HR team is very slow"
401,"Well taken care of Salary, little perks, fellow staff and immediate supervisors. Easy to work with and for. They value an honest days work. Information can be confusing at times and communication can be contradictory but that’s due to the startup nature of this company’s division. Improvements are evident."
402,Been an amazing learning experience! Flexibility in timing. Interesting projects. Friendly work culture. Competitive compensation and work life balance Not much to say. Sometimes work is thrown around instead of being owned up to by the actual person.
403,Great Team with Ownership and high motivation High knowledge and quick actions mentality to make things happen. Strong financial driven and success orientated Processes and Tools could be more lean
404,"Better Salary compared other automotive Company is providing competitive salary compared to other automotive companies, good work life and personal life balance I feel there is no learning for me, apart from that every thing is good"
405,Decent place Good leaders Decent work life balance Nice people to work with Varied career paths within the organization Work culture and flexibility is entirely dependent on the team.
406,"Shippinh & Receiving Supervisor Great team work, wide range of activities to learn from & opportunity to grow Very demanding with working extra hours, tension between departments & people within the operation"
407,"Needs to focus on innovation and R&D Lot of projects. Revenues are all time high. Good project booking, happy shareholders, flexible working hours Lot of projects but most are on support, integration and bug fixes. Need to focus more on design projects, algorithm development and innovation rather than being service centre. Adas is going through a very interesting phase, wish management focuses on cashing in on the opportunity and take up interesting challenges rather than being low cost centre."
408,"A new home Great place to work, good pay, great benefits, great co workers, and great communication with superiors. None found as of yet."
409,"Good Place to work Good Salary, Good Hike, Lots of trainings, Good career growth, No Variable Pay, Team Lunch and Outing Some Managers are HIGHLY unprofessional"
410,"Expert Software Enginner interesting projects, possibilities of promotions, budget for training big corporation with typical problems that you encounter when you get higher in hierarchy (problems with financies, delays, IT etc)"
411,"Good, but still traditional Good people, always willing to help Constant reorgs, relatively low salaries"
412,"Good, but still traditional Good people, always willing to help Constant reorgs, relatively low salaries"
413,Great Company to work 1. Challenging work to perform. 2. New Technologies to learn. 3. Balanced work life. 4. Supportive Management. 5. Good Pay structure. 1. Immature HR department. 2. People are not so helpful.
414,Enjoyable atmosphere. Crazy how a large corporation can have a family feel. Salary is better than most in this area. We are a little understaffed.
415,"Good company to start working Good managers, good colleagues, good opportunity Many trainings, hope start work sooner."
416,"Cutting Edge Technology, Combative Culture Aptiv (formerly Delphi), is at the leading edge of the technological revolution in the automobile. They are one of the best positioned public companies in the space. For an aspiring software engineer or Artificial Intelligence expert, it's probably an excellent place to work. You will likely be challenged to create ground-breaking technology. You'll be involved in something big, which promises to fundamentally change how we live over the next few decades. Of course, one must keep in mind that the separated companies (Aptiv and Delphi Tech) are also ripe for consolidation. By accepting a role there, you will be joining a company that has a solid chance of being acquired or joining forces with a larger tech or automotive giant. The pay is good, and it should be if you are an engineer that's in demand, or if you are in finance and have to cope with the crap administered from Corporate. Benefits are solid, but don't expect HR to do much to help you with anything. You're definitely on your own at this Company. I worked at Corporate, so I cannot say what it's like being an engineer. I can say that working in Corporate Finance, or anywhere near the C-suite is a most unpleasant experience. The general culture is, in one word, combative. I've worked for other large companies, and never seen anything like it. The hours will be long, tense, and filled with angry, aggressive people. Management runs a tight ship, but has created a toxic, unpleasant environment. One can expect profanity, irrational anger, backstabbing, displaced aggression, red-faced put-downs of employees, threats of firing, and the occasional crying assistant. Employees even joke about the level of stress and misery of people on ""the fifth floor"" in Michigan. There's a reason there is so much turnover in the finance department and other Corporate functions. Overall, my time at the Company was an awful, unrewarding experience I came to regret. Don't go to Corporate unless you have a take no prisoners attitude and a thick skin."
417,"Great Employees, Supremely Disloyal HR Flexible work schedule, competitive pay (for me, anyway), exciting products in cutting edge tech spaces. Seemingly volatile corporate HR needs. Ask current and former corporate employees how many times they saw sudden staffing cuts or job relocation they disagreed with or thought was handled wrong."
418,"Autonomous operator Great benefits, great coworkers, treated well by management and supervisors. Flexible schedules, great environment to work in. None yet, everyone and everybody has been great"
419,Century Old Company 1. Less work Pressure 2. Corporate Culture 3. Strict Internal Controls 1. No flexible timings for even executives in Manufacturing plant. 2. Lots of hierarchy for approvals
420,R&D Software Engineer great place to work; free breakfast and lunch; good work and life balance; nice team members maybe location if you prefer silicon valley
421,Good place to work Good team members and Supportive managers Food and facilry are the concerns
422,Advanced technical leader Good company to explore technical possibilities There are no cons for this company
423,"Work Environment Your are free to learn as much as you can Very less onsite opportunities, only 1 or 2 months for vehicle testing."
424,Strong Company Culture! Empowerment is very strongly encouraged Restructuring is constant and this is a con
425,"Great Company Exciting work! Love working here. Has made major progress, but still updating to be a ""silicon valley"" style company."
426,Director Vendor Management Interesting field and great team to work with Dynamic with constant change but can be slow to act
427,"EGM Cutting edge technologies, challenging work,diversified skill enhancement opportunities Poor work life balance, fire fighting approaches"
428,Great Place to grow your career Very technical and challenging work Good Work life Balance Less Recognition and Rewards for employees
429,Exciting Transformation Happening Great Product Portfolio and love working with smart people High expectations and impacts work life balance
430,"Product Engineer Nice envoriment to work, systematic,easy to use tools and trainings Work load pressure, stress, very big and bulky organisation"
431,"Product Engineer Nice envoriment to work, systematic,easy to use tools and trainings Work load pressure, stress, very big and bulky organisation"
432,software engineer well communication with workmate. time balanced for work and family rate of salary increase is low.
433,Good Work. Good work life balance Free to do any task. Open to innovation Food and facility is not good.
434,"Decent Embedded employer Decent growth, on-site, good for performers Bad for average ppl and worst place for non contributors"
435,Global End User Compute Senior Service Manager It has been a long career. Has had its ups and downs.
436,"Lean International company , good job opportunities abroad Too busy, average wage , less promotion opportunities"
437,Good company for long term Managers are supportive and good leadership opportunities\ Not expected salary package criteria
438,Good plan to learn Quite a lot to learn Flexibility in timing Too much work pressure Politics at workplace
439,good company culture It is happy to work here. Nothing special in my mind.
440,Maintenance Supervisor Good place to work at Not appreciative in your job
441,"OPERATIONS MANAGER Multinational company, respect to human rights, no discrimination low salary, too much change in management, short term management style"
442,Have been with them a year Good location in the silicon valley The location is closing down
443,Logistics Buyer Great working environment in terms of employees. Mainly salaries are extremely low.
444,"worst place i have ever worked good salary, nice area for future feeling like tool, no work-life balance"
