,Title,Rating,Designation,Pros,Cons,Date,Position,sentiment,all_features
308,Great learning experience,5,"Current Employee, more than 1 year",Get to learn a lot. You feel contributing a lot. Worklife balance,Not enough fun activities conducted at office,2020," Software Engineer in Troy, MI",1,Great learning experience Get to learn a lot. You feel contributing a lot. Worklife balance Not enough fun activities conducted at office
309,Good 401k benefits,4,"Current Employee, more than 1 year",Good 401k benefits and good pay. Provides relocation assistance.,Sometimes you have to work late due to software releases and testing activities,2020," Software Engineer in Troy, MI",1,Good 401k benefits Good 401k benefits and good pay. Provides relocation assistance. Sometimes you have to work late due to software releases and testing activities
310,Program Manager,4,"Current Employee, more than 5 years",Good strategic direction of the company,Lot of internal changes in the company,2020," Program Manager in Detroit, MI",1,Program Manager Good strategic direction of the company Lot of internal changes in the company
311,Great company,4,Former Employee,Very chill and laid back work environment.,The salary was a bit lower than expected.,2020, Hardware Engineer ,1,Great company Very chill and laid back work environment. The salary was a bit lower than expected.
313,Active Safety / User Experience,4,"Former Employee, more than 10 years",Leading tech in growing areas of the automotive industry with lots of potential. Lots of talented people and opportunity to work with people from around the globe with varying ideas & perspectives.,"Management silos created road blocks and duplicate efforts that didn't align with other group efforts & management not being transparent with employees about future business path. They don't value experienced people as they should but rather employ lower cost entry level people. I predict closing the North American Infotainment & Driver Interface business will be a mistake in the long run, when historically it was always profitable for the company. But Autonomous & related Software/Services are now their only focus.",2020," Anonymous Employee in Kokomo, IN",1,"Active Safety / User Experience Leading tech in growing areas of the automotive industry with lots of potential. Lots of talented people and opportunity to work with people from around the globe with varying ideas & perspectives. Management silos created road blocks and duplicate efforts that didn't align with other group efforts & management not being transparent with employees about future business path. They don't value experienced people as they should but rather employ lower cost entry level people. I predict closing the North American Infotainment & Driver Interface business will be a mistake in the long run, when historically it was always profitable for the company. But Autonomous & related Software/Services are now their only focus."
314,Algorithm Developer,4,"Current Employee, more than 1 year","Great manager, work life balance","frequent management changes, poor tech lead",2020," Algorithm Developer in Troy, MI",1,"Algorithm Developer Great manager, work life balance frequent management changes, poor tech lead"
316,Program Manager,4,Former Employee,Great people to work with,Long hours / hard to balance work and life,2020," Program Manager in Troy, MI",1,Program Manager Great people to work with Long hours / hard to balance work and life
317,Good and stable company.,4,"Current Employee, more than 1 year",The employee work-life balance is important.,As most of the companies great part of your development depends on your manager.,2020," Software Engineer in Troy, MI",1,Good and stable company. The employee work-life balance is important. As most of the companies great part of your development depends on your manager.
318,"Mobility, Autonomous Vehicles, Driver Monitoring Systems",4,"Current Employee, more than 10 years","1. Technically ahead of the curve 2. Engineer friendly work culture to die for! 3. Individuals can work thru the org to develop or grow themselves, there is place for all 4.Open culture respects diversity 5.Open leadership communication, Flexible",1. Branding attention required in India,2020, Chief Engineer ,1,"Mobility, Autonomous Vehicles, Driver Monitoring Systems 1. Technically ahead of the curve 2. Engineer friendly work culture to die for! 3. Individuals can work thru the org to develop or grow themselves, there is place for all 4.Open culture respects diversity 5.Open leadership communication, Flexible 1. Branding attention required in India"
322,Work-life balance and salary package are the problems,2,Current Employee,Good technology and learning opportunities,Work life balance Salary increments are poor No fun activities,2020, Technical Lead in Bangalore,0,Work-life balance and salary package are the problems Good technology and learning opportunities Work life balance Salary increments are poor No fun activities
323,Very supportive employer,5,"Current Employee, less than 1 year",A lot of projects and easy team change,Nothing much to describe. Would be better if there was more work from home option,2020, Test Engineer ,1,Very supportive employer A lot of projects and easy team change Nothing much to describe. Would be better if there was more work from home option
324,Decline in manufacturing world at Aptiv,2,"Current Employee, more than 10 years",It is hard to come up with any....,"Corporate leaders keep squeezing the budget and will not hire people in our manufacturing plant. We are losing people and management will not replace them. We used to have three electrical controls engineers and are now down to one. If he is off and we have problems, who do we call? Same is true for the process engineers working on the manufacturing floor. Management does not want to replace the guys that left and expect the other process engineers to deal with it. Not sure how one guy can do the work of two people.",2020," Process Engineer in Warren, OH",0,"Decline in manufacturing world at Aptiv It is hard to come up with any.... Corporate leaders keep squeezing the budget and will not hire people in our manufacturing plant. We are losing people and management will not replace them. We used to have three electrical controls engineers and are now down to one. If he is off and we have problems, who do we call? Same is true for the process engineers working on the manufacturing floor. Management does not want to replace the guys that left and expect the other process engineers to deal with it. Not sure how one guy can do the work of two people."
325,Terrible Place to Work,1,"Current Employee, more than 1 year","Competitive salary, great teammates, international environment","Low transportation allowance, poor organization at all levels, frequent changes of plans",2020, Specialist in Niš,0,"Terrible Place to Work Competitive salary, great teammates, international environment Low transportation allowance, poor organization at all levels, frequent changes of plans"
326,Decent place,4,Current Employee,fun exciting palce to work,"some people arent great, some managers",2020, Project Engineer ,1,"Decent place fun exciting palce to work some people arent great, some managers"
329,decent place,4,Former Employee,"always busy, latest technology, nice work environment",bottom line means the most,2020, Technician ,1,"decent place always busy, latest technology, nice work environment bottom line means the most"
331,"Nice place to learn, cutting edge technologies",4,Current Employee,1.Always be the first one to adapt new technologies 2 Diversity of projects 3.Friendly work environment 4.Pay is good compared to its competitors 5.Annual hike percentage is good,"1.Tight deadlines 2.Work pressure 3.Too much of work load. 4.No food,quite useful tip i feel 5.No onsite ,zero i would say",2020, Senior Software Engineer in Bangalore,1,"Nice place to learn, cutting edge technologies 1.Always be the first one to adapt new technologies 2 Diversity of projects 3.Friendly work environment 4.Pay is good compared to its competitors 5.Annual hike percentage is good 1.Tight deadlines 2.Work pressure 3.Too much of work load. 4.No food,quite useful tip i feel 5.No onsite ,zero i would say"
332,Worst company in the world,1,"Former Employee, more than 10 years",Nothing for me to add,"Lack of organization, massive owertime,",2020," Manager in Leskovac, Central Serbia, Central Serbia",0,"Worst company in the world Nothing for me to add Lack of organization, massive owertime,"
333,Great place for work,5,"Current Employee, more than 10 years",Amazing projects for future cars,Too many roles and not clear responsibilities in the project organization. Project scaling not optimal.,2020, Manager in Kraków,1,Great place for work Amazing projects for future cars Too many roles and not clear responsibilities in the project organization. Project scaling not optimal.
335,Highly engaged and transparent leadership,5,"Current Employee, more than 10 years",Clear vision and encourages employees to think like owners,"Convenience of IT, difficult to turn off",2020, Manufacturing in Singapore,1,"Highly engaged and transparent leadership Clear vision and encourages employees to think like owners Convenience of IT, difficult to turn off"
337,Product: Bussed Electrical Centers,5,"Former Employee, more than 5 years","Great place for learning, good benefits, excellent facilities",Not big opportunities to grow internally,2020," Advanced Product Engineer in Juárez, Chihuahua, Chihuahua",1,"Product: Bussed Electrical Centers Great place for learning, good benefits, excellent facilities Not big opportunities to grow internally"
339,Worth Exploring,4,"Current Employee, more than 3 years",Strong vision and focus on employee safety,Lacking communication about role expectations,2020," Operations Manager in Boston, MA",1,Worth Exploring Strong vision and focus on employee safety Lacking communication about role expectations
340,Worth Exploring,4,"Current Employee, more than 3 years",Strong vision and focus on employee safety,Lacking communication about role expectations,2020," Operations Manager in Boston, MA",1,Worth Exploring Strong vision and focus on employee safety Lacking communication about role expectations
341,Work Life Balance,4,"Current Employee, more than 5 years","Good place for Learning, good knowledge growth , good labs","no good facilities , like cafeteria , and campus",2020, Software Engineer Advanced in Bangalore,1,"Work Life Balance Good place for Learning, good knowledge growth , good labs no good facilities , like cafeteria , and campus"
342,Amazing project,5,Current Employee,"Great people, great env, open minded","Long hours, sometimes stressful, working hard",2020, Anonymous Employee ,1,"Amazing project Great people, great env, open minded Long hours, sometimes stressful, working hard"
343,Aptiv Morocco not recommended,2,"Current Employee, more than 1 year",Good professional first learning experience.,Toxic envirement no encouragement stressful envirement low evolution opportunities weak HR management Basic salery and no extra ever,2020," Responsible in Aït Aomar, Meknès",0,Aptiv Morocco not recommended Good professional first learning experience. Toxic envirement no encouragement stressful envirement low evolution opportunities weak HR management Basic salery and no extra ever
344,Just okay for learning,2,"Former Employee, more than 1 year",1. Learning curve 2. Flexible working hours 3. Good colleagues,1. Pathetic infrastructure 2. Canteen is a disaster; food sucks to the core. 3. No bonus 4. Onboarding and exit process is more challenging than the projects executed. HR department is as though non existent in the organization. Too much paperwork.,2020, Electrical Engineer in Bangalore,0,Just okay for learning 1. Learning curve 2. Flexible working hours 3. Good colleagues 1. Pathetic infrastructure 2. Canteen is a disaster; food sucks to the core. 3. No bonus 4. Onboarding and exit process is more challenging than the projects executed. HR department is as though non existent in the organization. Too much paperwork.
345,Legacy company,1,Current Employee,No any issue in aptiv,Good carrier growth for long buisness,2020, Technical Support Engineer ,0,Legacy company No any issue in aptiv Good carrier growth for long buisness
346,Good experience,2,"Former Employee, more than 3 years",Good experience for entry level position,Leadership doesn’t listen to employees only their cliques,2020," Program Coordinator in Troy, MI",0,Good experience Good experience for entry level position Leadership doesn’t listen to employees only their cliques
347,International work environmet,4,Current Employee,Very international environment in its facilities,No bonus provided to its emplyees,2020, Software Test Engineer in Kraków,1,International work environmet Very international environment in its facilities No bonus provided to its emplyees
348,Material planner,1,"Current Employee, more than 1 year",No proper lunch and its common,No personal and work life balance,2020, Material Planner in Pune,0,Material planner No proper lunch and its common No personal and work life balance
349,Good company to work,4,"Current Employee, more than 5 years","Good learning, flexible working hours, freedom for doing right things",Lack of vision locally in TCI,2020, Software Engineer Advanced ,1,"Good company to work Good learning, flexible working hours, freedom for doing right things Lack of vision locally in TCI"
350,Kai works with Engineers at different location.,4,"Former Employee, less than 1 year","Workplace harmony, in that co-worker does their level best to help one another",Server for project management occasionally shuts down,2020," Software Engineer in West Lafayette, IN",1,"Kai works with Engineers at different location. Workplace harmony, in that co-worker does their level best to help one another Server for project management occasionally shuts down"
352,Toxic work environment,1,"Former Employee, more than 1 year",Salary is competitive Good technology Benefits are good Industry on a positive trend,"Highly toxic work environment. Workplace bullying tolerated. Starts from the CFO and rolls down. HR doesn’t care. They are scared to do what is right. Everyone bad mouths other groups and other employees as a habit. Profanity, aggressive behavior, and backstabbing culture are the norm.",2020," Corporate in Troy, MI",0,"Toxic work environment Salary is competitive Good technology Benefits are good Industry on a positive trend Highly toxic work environment. Workplace bullying tolerated. Starts from the CFO and rolls down. HR doesn’t care. They are scared to do what is right. Everyone bad mouths other groups and other employees as a habit. Profanity, aggressive behavior, and backstabbing culture are the norm."
353,Nice Place to Work - May be poorly managed,4,"Former Employee, more than 8 years","Nice atmosphere, generous salaries, nice facilities and benefits","Money problems, layoffs, moving jobs to Mexico",2020," Configuration Analyst in Auburn Hills, MI",1,"Nice Place to Work - May be poorly managed Nice atmosphere, generous salaries, nice facilities and benefits Money problems, layoffs, moving jobs to Mexico"
354,Work here at your own risk,1,"Former Employee, more than 1 year",Nothing much except for the fact that there are some good projects but one has to be lucky to work on those projects. And yes expect a good learning curve because most of these projects are not very well structured and are rather mis-managed.,Bad work life balance for engineers. Lateral hires are over-promised and it leads to a lot of issues. Mid-level managers (Lateral hires in particular) are considered very much redundant and their job security is under lot of risk. Financially company is not doing very well. Immature management. Aptiv India is globally not very well recognized within Aptiv.,2019, Anonymous Employee in Noida,0,Work here at your own risk Nothing much except for the fact that there are some good projects but one has to be lucky to work on those projects. And yes expect a good learning curve because most of these projects are not very well structured and are rather mis-managed. Bad work life balance for engineers. Lateral hires are over-promised and it leads to a lot of issues. Mid-level managers (Lateral hires in particular) are considered very much redundant and their job security is under lot of risk. Financially company is not doing very well. Immature management. Aptiv India is globally not very well recognized within Aptiv.
355,"Do your research, mobility vs manufacturing.",1,"Current Employee, less than 1 year","Great sales pitch, and relocation.","Lies, confusion and tons of miserable people locked in their relocation. No integrity, loyalty or supporting environment. Toxic culture.",2020," Anonymous Employee in Troy, MI",0,"Do your research, mobility vs manufacturing. Great sales pitch, and relocation. Lies, confusion and tons of miserable people locked in their relocation. No integrity, loyalty or supporting environment. Toxic culture."
356,Great learning opportunity.,4,Former Employee,"During my time there, the company transitioned to Dublin, Ireland",Minimal management direction and no career path,2020," Security Analyst in Troy, MI",1,"Great learning opportunity. During my time there, the company transitioned to Dublin, Ireland Minimal management direction and no career path"
357,Exciting place to work!,5,"Current Employee, more than 10 years","Great people, greaqt vision, exciting technology",Never enough time to get everything done,2020," Manager in Stamford, CT",1,"Exciting place to work! Great people, greaqt vision, exciting technology Never enough time to get everything done"
358,Great,5,Current Employee,Friendly environment and nice place to work,I personally did not found any Cons,2020, Anonymous Employee ,1,Great Friendly environment and nice place to work I personally did not found any Cons
359,amazing,5,"Current Employee, less than 1 year",flexible time and good pay and amazing supervisor,onboarding experience and job location,2020," Financial Analyst in Austin, TX",1,amazing flexible time and good pay and amazing supervisor onboarding experience and job location
360,amazing,5,"Current Employee, less than 1 year",flexible time and good pay and amazing supervisor,onboarding experience and job location,2020," Financial Analyst in Troy, MI",1,amazing flexible time and good pay and amazing supervisor onboarding experience and job location
362,Aptiv Auto-Driving Team Review,5,"Former Employee, less than 1 year","Friendly and free environment, good work-life balance",No cons until I left,2020, Algorithm Engineer ,1,"Aptiv Auto-Driving Team Review Friendly and free environment, good work-life balance No cons until I left"
363,Senior Technical leader,4,Current Employee,ownership work life balance visibility Learning Job safety,Salary is no more competitive. Rewards,2020, Anonymous Employee ,1,Senior Technical leader ownership work life balance visibility Learning Job safety Salary is no more competitive. Rewards
364,Excellent Culture,5,"Current Employee, more than 1 year",Excellent culture and attention paid to employee needs.,"No cons to speak of so far, great company in a burgeoning industry.",2020," Vehicle Operator in Las Vegas, NV",1,"Excellent Culture Excellent culture and attention paid to employee needs. No cons to speak of so far, great company in a burgeoning industry."
365,Overall Nice Place to Work At,4,"Current Employee, more than 3 years",Great Teams. Great working environment.,Cafeteria food sucks. Too less company holidays,2020," Simulation Engineer in Troy, MI",1,Overall Nice Place to Work At Great Teams. Great working environment. Cafeteria food sucks. Too less company holidays
368,Best place to work in Automotive domain,4,"Current Employee, more than 3 years",Pay is Good Work life balance Sufficient leaves Medical insurence,No much onsite opportunity Sometimes projects are less Less R&D project for India sites Less projects from indian OEMs,2019, Senior Software Engineer in Bangalore,1,Best place to work in Automotive domain Pay is Good Work life balance Sufficient leaves Medical insurence No much onsite opportunity Sometimes projects are less Less R&D project for India sites Less projects from indian OEMs
369,CONSTANT RESTRUCTURING COMPANY,4,"Former Employee, more than 10 years",A big company with great culture,A lot of restructuring of the company therefore constant threat of layoffs,2019," Industrial Engineer in Juárez, Chihuahua, Chihuahua",1,CONSTANT RESTRUCTURING COMPANY A big company with great culture A lot of restructuring of the company therefore constant threat of layoffs
370,Great company with some downfalls,4,"Current Employee, more than 1 year",Great pay. Schedule for a VO is 4 - 10 hour shifts during the week. Benefits package is on the lower end for a 'start-up' with a lot of money.,Not much job growth or movement once you're in your hired role,2019," Vehicle Operator in Pittsburgh, PA",1,Great company with some downfalls Great pay. Schedule for a VO is 4 - 10 hour shifts during the week. Benefits package is on the lower end for a 'start-up' with a lot of money. Not much job growth or movement once you're in your hired role
371,"Interessante Aufgaben, schlechtes Management",1,"Current Employee, more than 3 years",Interesting tasks and field.,"Bad management, decisions are very sudden and not properly thought through. The company is just trying to take as much projects as they can while not having the capacity or competency to execute them, ending up in bad work-life balance for employees and chaotic operation.",2020, Product Owner in Wuppertal,0,"Interessante Aufgaben, schlechtes Management Interesting tasks and field. Bad management, decisions are very sudden and not properly thought through. The company is just trying to take as much projects as they can while not having the capacity or competency to execute them, ending up in bad work-life balance for employees and chaotic operation."
372,"Start Up Company, Growing Pains, Diversity, High Tech, Multi City/ Country",5,"Current Employee, more than 1 year","One of Companies with Top Paying driving position in Vegas. Provides snacks and drinks. Lunch once a week. Employee Center with big screen tv with game consoles, Ping Pong and Foosball tables Monthly news updates. Management is always open to new ideas.",Bad Attitudes from some Vehicle Operators. Vehicle Operators that were let go have bad reviews due to their misguided opinions on how to run a company.,2019," Vehicle Operator in Las Vegas, NV",1,"Start Up Company, Growing Pains, Diversity, High Tech, Multi City/ Country One of Companies with Top Paying driving position in Vegas. Provides snacks and drinks. Lunch once a week. Employee Center with big screen tv with game consoles, Ping Pong and Foosball tables Monthly news updates. Management is always open to new ideas. Bad Attitudes from some Vehicle Operators. Vehicle Operators that were let go have bad reviews due to their misguided opinions on how to run a company."
373,Good company to start with,4,"Current Employee, more than 1 year","Work life balance, Good exposure, management is good",Salary is not so good,2019, Architect ,1,"Good company to start with Work life balance, Good exposure, management is good Salary is not so good"
374,autonomous driving,4,"Current Employee, more than 1 year","Good working enviroment, good project at company.","architecture disorder, change a lot which wasting time",2019, Algorithm Engineer ,1,"autonomous driving Good working enviroment, good project at company. architecture disorder, change a lot which wasting time"
375,Great Place to work,5,"Current Employee, more than 1 year",High tech. Collaborative environment. Great benefits.,No cons to bring up at this point.,2019," Applications in Allen Park, MI",1,Great Place to work High tech. Collaborative environment. Great benefits. No cons to bring up at this point.
376,GOOD PLACE,4,"Current Employee, more than 1 year",Good Working Environment Decent Pay Less Pressure,"Job Security, No Future Plans for the Design Engineer, Nothing to study new",2019, Senior Design Engineer in Chennai,1,"GOOD PLACE Good Working Environment Decent Pay Less Pressure Job Security, No Future Plans for the Design Engineer, Nothing to study new"
377,Very comfortable work environment,5,"Former Employee, more than 1 year",Great work environment. Top of the line equipment. Keeps employees in the loop of what's going on with the company. Great pay,Kind of lacking on follow through from upper management sometimes.,2019, Engineering ,1,Very comfortable work environment Great work environment. Top of the line equipment. Keeps employees in the loop of what's going on with the company. Great pay Kind of lacking on follow through from upper management sometimes.
378,Good challenging work,4,Current Employee,Good work and work culture Dynamic and agile,I don't think there is any,2019, Anonymous Employee ,1,Good challenging work Good work and work culture Dynamic and agile I don't think there is any
381,Miserable Place to Work,1,"Former Employee, more than 1 year",Competitive Pay and benefits. That's it.,"Poor management, high stress, excessive hours.",2020," Engineer in Troy, MI",0,"Miserable Place to Work Competitive Pay and benefits. That's it. Poor management, high stress, excessive hours."
382,Technical Lead,4,Current Employee,Very nice company to work,Salary little less as compared to market.,2019, Anonymous Employee ,1,Technical Lead Very nice company to work Salary little less as compared to market.
383,Review,4,Current Employee,Good work profiles and career growth,Not sure as of now,2019, Anonymous Employee ,1,Review Good work profiles and career growth Not sure as of now
384,Pretty Good,4,"Current Employee, more than 1 year",School comes first and they know that to be true,Communication is slow with other branches and you are often sitting on your hands doing nothing (also kind of a pro though),2019, Software Verification Engineer ,1,Pretty Good School comes first and they know that to be true Communication is slow with other branches and you are often sitting on your hands doing nothing (also kind of a pro though)
385,Good company to work for,5,"Current Employee, less than 1 year",Good product company to work on new technology. Working both in infotainment and ADAS domains. No variable pay Good work life balance at Aptiv.,Facilities needs to be improved,2019, Software Project Manager in Bangalore,1,Good company to work for Good product company to work on new technology. Working both in infotainment and ADAS domains. No variable pay Good work life balance at Aptiv. Facilities needs to be improved
387,Great environment and people,4,"Current Employee, less than 1 year","Competitive pay, great people, the benefits are really good, and many opportunities to move into areas of interest.",Holidays could be better and slow on boarding into the job.,2019," Software Engineer ADAS in Troy, MI",1,"Great environment and people Competitive pay, great people, the benefits are really good, and many opportunities to move into areas of interest. Holidays could be better and slow on boarding into the job."
388,Great benefits. Good co-workers,4,"Current Employee, less than 1 year",Great 401k Match and HSA contributions from Aptiv. Aptiv sponsored Education Assistance. Affordable insurance plans. Good employee discount portfolio Subsidized food at the cafeteria. Some of the brightest minds in the industry are currently working here. Great future outlook and opportunity to create products that will help people in real world.,"Insurance plan is high deductible HSA. While Aptiv contributes to the HSA account, the out of pocket maximum is quite high. No flat co-pays at ERs and Urgent Cares. As a relatively new company with people from all backgrounds, the processes have something to be desired.",2019," Algorithm Engineer in Troy, MI",1,"Great benefits. Good co-workers Great 401k Match and HSA contributions from Aptiv. Aptiv sponsored Education Assistance. Affordable insurance plans. Good employee discount portfolio Subsidized food at the cafeteria. Some of the brightest minds in the industry are currently working here. Great future outlook and opportunity to create products that will help people in real world. Insurance plan is high deductible HSA. While Aptiv contributes to the HSA account, the out of pocket maximum is quite high. No flat co-pays at ERs and Urgent Cares. As a relatively new company with people from all backgrounds, the processes have something to be desired."
389,Indirect Procurement,4,"Current Employee, more than 5 years",Fast learning and vast opportunities for career advancement,Continues high management strategy readjustments,2019, Indirect Procurement ,1,Indirect Procurement Fast learning and vast opportunities for career advancement Continues high management strategy readjustments
391,TERRIBLE LEADERSHIP,1,"Former Employee, more than 10 years",Very nice people to work with,"Leadership is terrible. They discuss employees with other employees, attack you when they don't understand and always play the blame game. Some of the management screams and yells at their employees to the point that their employees are in tears. This is The atmosphere in the company is so difficult and people always feel like they are walking on eggs around leadership in HR not knowing what to expect from one day to another. I worked for the company for a very long time and loyalty doesn't mean a thing to them.",2019," Workday Analyst in Troy, MI",0,"TERRIBLE LEADERSHIP Very nice people to work with Leadership is terrible. They discuss employees with other employees, attack you when they don't understand and always play the blame game. Some of the management screams and yells at their employees to the point that their employees are in tears. This is The atmosphere in the company is so difficult and people always feel like they are walking on eggs around leadership in HR not knowing what to expect from one day to another. I worked for the company for a very long time and loyalty doesn't mean a thing to them."
392,Good Environment,4,Former Employee,Good Salary and work culture,Nothing like cons in aptiv,2019, Anonymous Employee ,1,Good Environment Good Salary and work culture Nothing like cons in aptiv
393,Dysfunctional at its Best,1,"Current Employee, more than 10 years","Other than a decent compensation , not much pros here.","Highly Political . No Value for good work.. No Over Time.. No more a North American Company , every project is heavily outsourced/offshore based , Management has no vision or clarity , Lack of Transparency and interest towards employees.",2019," Engineer in Troy, MI",0,"Dysfunctional at its Best Other than a decent compensation , not much pros here. Highly Political . No Value for good work.. No Over Time.. No more a North American Company , every project is heavily outsourced/offshore based , Management has no vision or clarity , Lack of Transparency and interest towards employees."
394,Evil,1,Current Employee,There are none. This company is evil.,"HR and Legal middle-management are stupid, arrogant and cruel. Avoid working in these areas. Also beware of working for a company with HR staff who are so mean-spirited.",2020,"  in Boston, MA",0,"Evil There are none. This company is evil. HR and Legal middle-management are stupid, arrogant and cruel. Avoid working in these areas. Also beware of working for a company with HR staff who are so mean-spirited."
395,Very interesting company to work for,4,"Current Employee, less than 1 year",Freedom and research nature Creates cool autonomous vehicles,The office is located outside of CBD,2019, Researcher in Singapore,1,Very interesting company to work for Freedom and research nature Creates cool autonomous vehicles The office is located outside of CBD
396,Senior software engineer,4,"Current Employee, more than 3 years",Great work ethics and good environment,"Low pay, non flexible if you'd want to explore more in different teams",2019, Senior Software Engineer ,1,"Senior software engineer Great work ethics and good environment Low pay, non flexible if you'd want to explore more in different teams"
398,Innovating and growing company in the automotive space,5,"Current Employee, less than 1 year","Great overall benefits and good culture. Good worklife balance. Company is well-positioned to take advantage of the trends in Safety, Green and Mobility",Healthcare benefits are not as great.,2019," Director in Boston, MA",1,"Innovating and growing company in the automotive space Great overall benefits and good culture. Good worklife balance. Company is well-positioned to take advantage of the trends in Safety, Green and Mobility Healthcare benefits are not as great."
400,Great Place to Work!,5,"Current Employee, less than 1 year",Solve exciting and tough engineering problems. The innovation is very rapid and everyone is passionate about their work.,Typical pains of companies experiencing fast growth.,2019, Vehicle Operator ,1,Great Place to Work! Solve exciting and tough engineering problems. The innovation is very rapid and everyone is passionate about their work. Typical pains of companies experiencing fast growth.
401,Beginner level mistakes are still frequent,2,"Former Employee, less than 1 year",Salaries are high because they have a hard time attracting good talent.,"Management at Pittsburgh office is mostly incompetent. Some leaders are clueless to the role they serve, being too smart to ever consider they don't know what they are doing. They are making beginner level mistakes with regards to how to manage people and not putting competent people in important roles. They manage to miss deadline after deadline because they realize they have built so much framework on an inadequate foundation, which makes everything new hard. Constant fighting with corporate office in Boston creates more chaos and a lack of leadership or direction. There are smart people at Aptiv, however - the really smart people leave quickly.",2019," Prefer Not to Say in Pittsburgh, PA",0,"Beginner level mistakes are still frequent Salaries are high because they have a hard time attracting good talent. Management at Pittsburgh office is mostly incompetent. Some leaders are clueless to the role they serve, being too smart to ever consider they don't know what they are doing. They are making beginner level mistakes with regards to how to manage people and not putting competent people in important roles. They manage to miss deadline after deadline because they realize they have built so much framework on an inadequate foundation, which makes everything new hard. Constant fighting with corporate office in Boston creates more chaos and a lack of leadership or direction. There are smart people at Aptiv, however - the really smart people leave quickly."
403,Great Management,4,"Former Employee, less than 1 year",Good Management system and good pay,Less employee benefits and Team spirit is low,2019," IT Specialist in Detroit, MI",1,Great Management Good Management system and good pay Less employee benefits and Team spirit is low
404,Overall Good,4,"Current Employee, more than 3 years","Overall Work Culture is Fine. Salary is Fair. Flexible Timings. Work from Home Options (based on roles & responsibility). Freedom to express when it comes to work. Domination on Employees is less. Work Results were always appreciated & acknowledged through certifications & rewards. Hardwork is always recognized. In certain ways, People caring they execute. Work life balance possible, if expectations are kept always less. Workload depends on the project one works.","Cafeteria Facilities are worse. Career growth inside the Organization is heavily limited. Designation will not be given even for well experienced. Expectations are always high. Less Engineering Resources. Abroad Opportunities are less, if one looks for it. Besides, taking up Aboard Trips from start till bill settlement is hectic.",2019, Senior Technical Leader in Bangalore,1,"Overall Good Overall Work Culture is Fine. Salary is Fair. Flexible Timings. Work from Home Options (based on roles & responsibility). Freedom to express when it comes to work. Domination on Employees is less. Work Results were always appreciated & acknowledged through certifications & rewards. Hardwork is always recognized. In certain ways, People caring they execute. Work life balance possible, if expectations are kept always less. Workload depends on the project one works. Cafeteria Facilities are worse. Career growth inside the Organization is heavily limited. Designation will not be given even for well experienced. Expectations are always high. Less Engineering Resources. Abroad Opportunities are less, if one looks for it. Besides, taking up Aboard Trips from start till bill settlement is hectic."
405,Short Term Review,4,"Current Employee, more than 1 year",There is a pretty flexible work schedule with a quick assignment of responsibilities.,Benefits aren't as competitive as I hoped while on-boarding process isn't very clear and concise.,2019, Mechanical Engineer ,1,Short Term Review There is a pretty flexible work schedule with a quick assignment of responsibilities. Benefits aren't as competitive as I hoped while on-boarding process isn't very clear and concise.
407,Good company and environment,4,"Current Employee, more than 1 year",Good Pay Nice Colleagues Good work Immense opportunities,Worst canteen. Bachelors struggle for food. No fun at work,2019, Senior Technical Leader in Bangalore,1,Good company and environment Good Pay Nice Colleagues Good work Immense opportunities Worst canteen. Bachelors struggle for food. No fun at work
